NAME,TABLE,TYPE,LABEL
AGERANGE,person,character,Age Range
AIRPORT,household,character,Influence Choice of Airport
ALT_1,person,character,Alternative Mode of Transportation: Public Transportation
ALT_16,Person,character,Alternative Mode of Transportation: Public Transportation or Taxi
ALT_2,person,character,Alternative Mode of Transportation: Passenger to Friend or Family Member
ALT_23,Person,character,Alternative Mode of Transportation: Passenger to Friend/Family Member or Rental Car
ALT_3,person,character,Alternative Mode of Transportation: Rental Car
ALT_4,person,character,Alternative Mode of Transportation: Bicycle
ALT_45,Person,character,Alternative Mode of Transportation: Bicycle or Walk
ALT_5,person,character,Alternative Mode of Transportation: Walk
ALT_6,person,character,Alternative Mode of Transportation: Taxi
ALT_7,person,character,Alternative Mode of Transportation: None
ALT_DK,person,character,Alternative Mode of Transportation: Does Not Know Answer
ALT_O,person,character,Alternative Mode of Transportation (Other)
ALT_RF,person,character,Alternative Mode of Transportation: Refused to Answer
ALT_SE,person,character,Alternative Mode of Transportation: Something Else
ANNMILES,vehicle,numeric,Self-reported annualized mile estimate
AVOID_WKND,person,character,Try to Avoid Shopping on Weekends
AWAYHOME,person,character,Reason respondent did not start their travel day with a home-based activity
AWAYHOME17,person,character,Reason respondent was not at their home location at the start of their travel day
BIKE,household,character,Frequency of Bicycle Use for Travel
BIKE2SAVE,household,character,Bicycle to Reduce Financial Burden of Travel
BIKE4EX,person,numeric,Count of Bike Trips for Exercise
BIKESHARE,person,numeric,Count of Bike Share Program Usage
BIKE_D,person,character,Reason for Not Biking More: No nearby paths or trails
BIKE_DFR,Person,character,Reason for Not Biking More: Infrastructure
BIKE_DK,person,character,Reason for Not Biking More: Does not know answer
BIKE_F,person,character,Reason for Not Biking More: No sidewalks or sidewalks are in poor condition
BIKE_FAC_WI_1,person,character,Bike Facilities Used on Most Recent Trip: Car lanes
BIKE_FAC_WI_2,person,character,Bike Facilities Used on Most Recent Trip: Outside travel lanes
BIKE_FAC_WI_3,person,character,Bike Facilities Used on Most Recent Trip: Pavement Marked Bike Lanes
BIKE_FAC_WI_4,person,character,Bike Facilities Used on Most Recent Trip: Paved Shoulders
