NAME,TABLE,TYPE,LABEL
ANNMILES,vehicle,numeric,Self-reported annualized mile estimate
AWAYHOME,trip,character,Travel day reason S was away from home
BESTMILE,vehicle,numeric,Best estimate of annual miles
BEST_EDT,vehicle,character,Flag any edits/adjustments to BESTMILE
BEST_FLG,vehicle,character,How BESTMILE was computed
BEST_OUT,vehicle,character,Flag identifying BESTMILE outlier values
BORNINUS,person,character,Respondent was born in U.S.
CARRODE,person,numeric,Number of people in vehicle last week
CDIVMSAR,household,character,"Grouping of HH by combination of Census Division, MSA status, and presence of a subway system (if area > 1 million)"
CENSUS_D,household,character,Census division classification for home address
CENSUS_R,household,character,Census region classification for home address
CNTTDHH,household,character,Category of number of household trips
CNTTDTR,person,numeric,Count of travel day trips for this respondent
CONDNIGH,person,character,Medical condition results in limiting driving to daytime
CONDPUB,person,character,Medical condition results in using bus/subway less frequently
CONDRIDE,person,character,Medical condition results in asking others for rides
CONDRIVE,person,character,Medical condition results in giving up driving
CONDSPEC,person,character,Medical condition results in using special transit services
CONDTAX,person,character,Medical condition results in using a reduced fare taxi
CONDTRAV,person,character,Medical condition results in reduced day-to-day travel
DELIVER,person,numeric,Number of these internet purchases delivered to home
DIARY,person,character,Indicates if travel diary was completed
DISTTOSC,person,character,Distance home to school
DISTTOWK,person,numeric,One-way distance to workplace (miles)
DRIVER,person,character,Driver status of S
DROP_PRK,trip,character,Parked or dropped off at public transit
DRVRCNT,household,numeric,Number of drivers in HH
DRVR_FLG,trip,character,Subject was driver on this trip
DTACDT,person,character,Respondent's view on Safety concerns
DTCONJ,person,character,Respondent's view on Highway congestion
DTCOST,person,character,"Respondent's view on Price of travel (fees, tolls and gas)"
DTRAGE,person,character,Respondent's view on Aggressive/distracted drivers
DTRAN,person,character,Respondent's view on Access or availability of public transit
DTWALK,person,character,Respondent's view on Lack of walkways or sidewalks
DWELTIME,trip,numeric,Calculated Time (minutes) at Destination
EDUC,person,character,Highest grade completed
EIADMPG,vehicle,numeric,EIA derived miles per gasoline-equivalent gallon estimate
ENDTIME,trip,character,Trip END time in military
EPATMPG,vehicle,numeric,Unadjusted 55/45 combined fuel economy
EPATMPGF,vehicle,character,Imputation flag for EPATMPG
EVERDROV,person,character,Has been a driver in the past
FLAG100,household,character,Did HH have 100% of members complete interview?
FLEXTIME,person,character,Respondent can set or change start time of work day
FMSCSIZE,person,numeric,Number of people on from school trip
FRSTHM,person,character,Did Person Start Travel Day at Home?
FUELTYPE,vehicle,numeric,Type of fuel
FXDWKPL,person,character,No fixed workplace
GASPRICE,trip,numeric,Price of gasoline (cents) on respondent's travel day
GCDWORK,person,numeric,Great circle distance (miles) between home and work
GRADE,person,character,Grade allowed to walk/bike to/from school without adult
GSCOST,vehicle,numeric,Fuel cost in nominal US dollars per gasoline-equivalent gallon
GSTOTCST,vehicle,numeric,Annual fuel expenditures in nominal US dollars
GSYRGAL,vehicle,numeric,Annual fuel consumption in gasoline-equivalent gallons
GT1JBLWK,person,character,Have more than one job
HBHTNRNT,household,character,Percent renter-occupied - Block group
HBHUR,household,character,Urban / Rural indicator - Block group
HBPPOPDN,household,character,Population per sq mile - Block group
HBRESDN,household,character,Housing units per sq mile - Block group
HHC_MSA,household,character,CMSA FIPS code for HH address
HHFAMINC,household,character,Derived total HH income
HHMEMDRV,trip,character,HH member drove on trip
HHRELATD,household,character,At least some HHMs are related
HHRESP,household,character,Person ID number of household respondent
HHSIZE,household,numeric,Count of HH members
HHSTATE,household,character,State HH location
HHSTFIPS,household,character,State FIPS for HH address
HHVEHCNT,household,numeric,Count of HH vehicles
HH_CBSA,household,character,CBSA FIPS code for HH address
HH_HISP,household,character,Hispanic status of HH respondent
HH_ONTD,trip,numeric,Derived number of HHMs on trip
HH_RACE,household,character,Race of HH respondent
HOMEOWN,household,character,Housing unit owned or rented
HOMETYPE,household,character,Type of housing unit
HOUSEID,household,character,HH eight-digit ID number
HTEEMPDN,household,character,Workers per square mile living in Tract
HTHTNRNT,household,character,Percent renter-occupied - Tract level
HTPPOPDN,household,character,Population per sq mile - Tract level
HTRESDN,household,character,Housing units per sq mile - Tract level
HYBRID,vehicle,character,Vehicle is Hybrid or uses alternate fuel
INTSTATE,trip,character,A part of this trip was on interstate
ISSUE,person,character,Most important transportation issue
LIF_CYC,household,character,Life Cycle classification for the HH
LSTTRDAY,person,numeric,Approximate number of days since last trip
MAKECODE,vehicle,character,NASS vehicle make code
MCUSED,person,numeric,Times used motorcycle/moped on road in the past month
MEDCOND,person,character,Have medical condition making it hard to travel
MEDCOND6,person,character,Length of time with medical condition
MODLCODE,vehicle,character,NASS vehicle model code
MOROFTEN,person,character,Would like to get out more often
MSACAT,household,character,MSA category for the HH home address
MSASIZE,household,character,MSA population size for the HH home address
NBIKETRP,person,numeric,Number of bike trips in past week
